Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
CH4 + OH <=> CH3 + H2O,1.098612289,3,12552
H + O2 <=> O + OH,1.40E-01,1.00E-06,1.00E-06
H2 + O <=> H + OH,4.70E-01,1.00E-06,1.00E-06
H2 + OH <=> H + H2O,1.82E-01,1.00E-06,1.00E-06
H2 + M <=> 2 H + M,1.00E-06,1.00E-06,1.00E-06
AR + H2 <=> AR + 2 H,1.00E-06,1.00E-06,1.00E-06
H2 + HE <=> 2 H + HE,1.00E-06,1.00E-06,1.00E-06
2 O + M <=> O2 + M,1.00E-06,1.00E-06,1.00E-06
AR + 2 O <=> AR + O2,1.00E-06,1.00E-06,1.00E-06
HE + 2 O <=> HE + O2,1.00E-06,1.00E-06,1.00E-06
H + O + M <=> OH + M,1.00E-06,1.00E-06,1.00E-06
H2O + M <=> H + OH + M,1.00E-06,1.00E-06,1.00E-06
2 H2O <=> H + H2O + OH,1.00E-06,1.00E-06,1.00E-06
H + O2 (+M) <=> HO2 (+M),1.00E-06,1.00E-06,1.00E-06
HO2 + O <=> O2 + OH,1.00E-06,1.00E-06,1.00E-06
H + H2O2 <=> H2O + OH,1.00E-06,1.00E-06,1.00E-06
H + H2O2 <=> H2 + HO2,1.00E-06,1.00E-06,1.00E-06
H2O2 + O <=> HO2 + OH,1.00E-06,1.00E-06,1.00E-06
CO + O (+M) <=> CO2 (+M),1.00E-06,1.00E-06,1.00E-06
CO + O2 <=> CO2 + O,1.00E-06,1.00E-06,1.00E-06
CO + OH <=> CO2 + H,4.05E-01,1.00E-06,1.00E-06
CO + HO2 <=> CO2 + OH,1.00E-06,1.00E-06,1.00E-06
HCO + M <=> CO + H + M,1.00E-06,1.00E-06,1.00E-06
H + HCO <=> CO + H2,1.00E-06,1.00E-06,1.00E-06
HCO + O <=> CO + OH,1.00E-06,1.00E-06,1.00E-06
HCO + O <=> CO2 + H,1.00E-06,1.00E-06,1.00E-06
HCO + OH <=> CO + H2O,1.00E-06,1.00E-06,1.00E-06
HCO + O2 <=> CO + HO2,1.00E-06,1.00E-06,1.00E-06
C + OH <=> CO + H,1.00E-06,1.00E-06,1.00E-06
C + O2 <=> CO + O,1.00E-06,1.00E-06,1.00E-06
CH + H <=> C + H2,1.00E-06,1.00E-06,1.00E-06
CH + O <=> CO + H,1.00E-06,1.00E-06,1.00E-06
CH + OH <=> H + HCO,1.00E-06,1.00E-06,1.00E-06
CH + H2 <=> CH2 + H,1.00E-06,1.00E-06,1.00E-06
CH + H2 (+M) <=> CH3 (+M),1.00E-06,1.00E-06,1.00E-06
CH + H2O <=> CH2O + H,1.00E-06,1.00E-06,1.00E-06
CH + O2 <=> HCO + O,1.00E-06,1.00E-06,1.00E-06
CH + O2 <=> CO2 + H,1.00E-06,1.00E-06,1.00E-06
CH + O2 <=> CO + OH,1.00E-06,1.00E-06,1.00E-06
CH + O2 => CO + H + O,1.00E-06,1.00E-06,1.00E-06
CH + CO (+M) <=> HCCO (+M),1.00E-06,1.00E-06,1.00E-06
CH + CO2 <=> CO + HCO,1.00E-06,1.00E-06,1.00E-06
CH2 + H (+M) <=> CH3 (+M),1.00E-06,1.00E-06,1.00E-06
CH2 + O => CO + 2 H,1.00E-06,1.00E-06,1.00E-06
CH2 + OH <=> CH2O + H,1.00E-06,1.00E-06,1.00E-06
CH2 + OH <=> CH + H2O,1.00E-06,1.00E-06,1.00E-06
CH2 + HO2 <=> CH2O + OH,1.00E-06,1.00E-06,1.00E-06
CH2 + H2 <=> CH3 + H,1.00E-06,1.00E-06,1.00E-06
CH2 + O2 => CO + H + OH,1.00E-06,1.00E-06,1.00E-06
CH2 + O2 => CO2 + 2 H,1.00E-06,1.00E-06,1.00E-06
CH2 + O2 <=> CH2O + O,1.00E-06,1.00E-06,1.00E-06
CH2 + O2 <=> CO2 + H2,1.00E-06,1.00E-06,1.00E-06
CH2 + O2 <=> CO + H2O,1.00E-06,1.00E-06,1.00E-06
C + CH2 <=> C2H + H,1.00E-06,1.00E-06,1.00E-06
CH + CH2 <=> C2H2 + H,1.00E-06,1.00E-06,1.00E-06
2 CH2 => C2H2 + 2 H,1.00E-06,1.00E-06,1.00E-06
2 CH2 <=> H2 + H2CC,1.00E-06,1.00E-06,1.00E-06
CH2(S) + N2 <=> CH2 + N2,1.00E-06,1.00E-06,1.00E-06
AR + CH2(S) <=> AR + CH2,1.00E-06,1.00E-06,1.00E-06
CH2(S) + HE <=> CH2 + HE,1.00E-06,1.00E-06,1.00E-06
CH2(S) + H <=> CH + H2,1.00E-06,1.00E-06,1.00E-06
CH2(S) + O => CO + 2 H,1.00E-06,1.00E-06,1.00E-06
CH2(S) + OH <=> CH2O + H,1.00E-06,1.00E-06,1.00E-06
CH2(S) + H2 <=> CH3 + H,1.00E-06,1.00E-06,1.00E-06
CH2(S) + O2 <=> CH2 + O2,1.00E-06,1.00E-06,1.00E-06
CH2(S) + H2O (+M) <=> CH3OH (+M),1.00E-06,1.00E-06,1.00E-06
CH2(S) + H2O <=> CH2 + H2O,1.00E-06,1.00E-06,1.00E-06
CH2(S) + H2O <=> CH2O + H2,1.00E-06,1.00E-06,1.00E-06
CH2(S) + H2O2 <=> CH3O + OH,1.00E-06,1.00E-06,1.00E-06
CH2(S) + CO <=> CH2 + CO,1.00E-06,1.00E-06,1.00E-06
CH2(S) + CO2 <=> CH2 + CO2,1.00E-06,1.00E-06,1.00E-06
CH2(S) + CO2 <=> CH2O + CO,1.00E-06,1.00E-06,1.00E-06
H + HCO (+M) <=> CH2O (+M),1.00E-06,1.00E-06,1.00E-06
CH2O (+M) <=> CO + H2 (+M),1.00E-06,1.00E-06,1.00E-06
CH2O + H <=> H2 + HCO,1.00E-06,1.00E-06,1.00E-06
CH2O + O <=> HCO + OH,1.00E-06,1.00E-06,1.00E-06
CH2O + OH <=> H2O + HCO,1.00E-06,1.00E-06,1.00E-06
CH2O + O2 <=> HCO + HO2,1.00E-06,1.00E-06,1.00E-06
CH2O + HO2 <=> H2O2 + HCO,1.00E-06,1.00E-06,1.00E-06
CH + CH2O <=> CH2CO + H,1.00E-06,1.00E-06,1.00E-06
CH2 + CH2O <=> CH3 + HCO,1.00E-06,1.00E-06,1.00E-06
CH2(S) + CH2O <=> CH3 + HCO,1.00E-06,1.00E-06,1.00E-06
C2H + CH2O <=> C2H2 + HCO,1.00E-06,1.00E-06,1.00E-06
C2H3 + CH2O <=> C2H4 + HCO,1.00E-06,1.00E-06,1.00E-06
CH3 + H (+M) <=> CH4 (+M),1.00E-06,1.00E-06,1.00E-06
CH3 + O <=> CH2O + H,1.00E-06,1.00E-06,1.00E-06
CH3 + O => CO + H + H2,1.00E-06,1.00E-06,1.00E-06
CH3 + OH (+M) <=> CH3OH (+M),1.00E-06,1.00E-06,1.00E-06
CH3 + OH <=> CH2 + H2O,1.00E-06,1.00E-06,1.00E-06
CH3 + OH <=> CH2(S) + H2O,1.00E-06,1.00E-06,1.00E-06
CH3 + OH <=> CH2O + H2,1.00E-06,1.00E-06,1.00E-06
CH3 + O2 <=> CH3O + O,1.00E-06,1.00E-06,1.00E-06
CH3 + O2 <=> CH2O + OH,1.00E-06,1.00E-06,1.00E-06
C + CH3 <=> C2H2 + H,1.00E-06,1.00E-06,1.00E-06
CH + CH3 <=> C2H3 + H,1.00E-06,1.00E-06,1.00E-06
CH2 + CH3 <=> C2H4 + H,1.00E-06,1.00E-06,1.00E-06
CH2(S) + CH3 <=> C2H4 + H,1.00E-06,1.00E-06,1.00E-06
2 CH3 (+M) <=> C2H6 (+M),6.93E-01,1.00E-06,1.00E-06
2 CH3 <=> C2H5 + H,6.93E-01,1.00E-06,1.00E-06
CH3 + HCO <=> CH4 + CO,1.00E-06,1.00E-06,1.00E-06
CH2O + CH3 <=> CH4 + HCO,1.00E-06,1.00E-06,1.00E-06
CH3O (+M) <=> CH2O + H (+M),1.00E-06,1.00E-06,1.00E-06
CH3O + H (+M) <=> CH3OH (+M),1.00E-06,1.00E-06,1.00E-06
CH3O + H <=> CH2OH + H,1.00E-06,1.00E-06,1.00E-06
CH3O + H <=> CH2O + H2,1.00E-06,1.00E-06,1.00E-06
CH3O + H <=> CH3 + OH,1.00E-06,1.00E-06,1.00E-06
CH3O + H <=> CH2(S) + H2O,1.00E-06,1.00E-06,1.00E-06
CH3O + O <=> CH2O + OH,1.00E-06,1.00E-06,1.00E-06
CH3O + OH <=> CH2O + H2O,1.00E-06,1.00E-06,1.00E-06
CH3O + O2 <=> CH2O + HO2,1.00E-06,1.00E-06,1.00E-06
CH3 + CH3O <=> CH2O + CH4,1.00E-06,1.00E-06,1.00E-06
CH3O + CO <=> CH3 + CO2,1.00E-06,1.00E-06,1.00E-06
CH2OH (+M) <=> CH2O + H (+M),1.00E-06,1.00E-06,1.00E-06
CH2OH + H (+M) <=> CH3OH (+M),1.00E-06,1.00E-06,1.00E-06
CH2OH + H <=> CH2O + H2,1.00E-06,1.00E-06,1.00E-06
CH2OH + H <=> CH3 + OH,1.00E-06,1.00E-06,1.00E-06
CH2OH + H <=> CH2(S) + H2O,1.00E-06,1.00E-06,1.00E-06
CH2OH + O <=> CH2O + OH,1.00E-06,1.00E-06,1.00E-06
CH2OH + OH <=> CH2O + H2O,1.00E-06,1.00E-06,1.00E-06
CH2OH + O2 <=> CH2O + HO2,1.00E-06,1.00E-06,1.00E-06
CH2OH + CH3 <=> CH2O + CH4,1.00E-06,1.00E-06,1.00E-06
CH4 + H <=> CH3 + H2,1.00E-06,1.00E-06,1.00E-06
CH4 + O <=> CH3 + OH,1.00E-06,1.00E-06,1.00E-06
CH4 + HO2 <=> CH3 + H2O2,1.00E-06,1.00E-06,1.00E-06
CH + CH4 <=> C2H4 + H,1.00E-06,1.00E-06,1.00E-06
CH2 + CH4 <=> 2 CH3,1.00E-06,1.00E-06,1.00E-06
CH2(S) + CH4 <=> 2 CH3,1.00E-06,1.00E-06,1.00E-06
C2H + CH4 <=> C2H2 + CH3,1.00E-06,1.00E-06,1.00E-06
CH3OH + H <=> CH2OH + H2,1.00E-06,1.00E-06,1.00E-06
CH3OH + H <=> CH3O + H2,1.00E-06,1.00E-06,1.00E-06
CH3OH + O <=> CH2OH + OH,1.00E-06,1.00E-06,1.00E-06
CH3OH + O <=> CH3O + OH,1.00E-06,1.00E-06,1.00E-06
CH3OH + OH <=> CH2OH + H2O,1.00E-06,1.00E-06,1.00E-06
CH3OH + OH <=> CH3O + H2O,1.00E-06,1.00E-06,1.00E-06
CH3OH + O2 <=> CH2OH + HO2,1.00E-06,1.00E-06,1.00E-06
CH3OH + HO2 <=> CH2OH + H2O2,1.00E-06,1.00E-06,1.00E-06
CH3OH + HO2 <=> CH3O + H2O2,1.00E-06,1.00E-06,1.00E-06
CH + CH3OH <=> CH2O + CH3,1.00E-06,1.00E-06,1.00E-06
CH2 + CH3OH <=> CH2OH + CH3,1.00E-06,1.00E-06,1.00E-06
CH2 + CH3OH <=> CH3 + CH3O,1.00E-06,1.00E-06,1.00E-06
CH2(S) + CH3OH <=> CH3 + CH3O,1.00E-06,1.00E-06,1.00E-06
CH2(S) + CH3OH <=> CH2OH + CH3,1.00E-06,1.00E-06,1.00E-06
CH3 + CH3OH <=> CH2OH + CH4,1.00E-06,1.00E-06,1.00E-06
CH3 + CH3OH <=> CH3O + CH4,1.00E-06,1.00E-06,1.00E-06
C2H + CH3OH <=> C2H2 + CH2OH,1.00E-06,1.00E-06,1.00E-06
C2H + CH3OH <=> C2H2 + CH3O,1.00E-06,1.00E-06,1.00E-06
C2H3 + CH3OH <=> C2H4 + CH2OH,1.00E-06,1.00E-06,1.00E-06
C2H3 + CH3OH <=> C2H4 + CH3O,1.00E-06,1.00E-06,1.00E-06
C2H + H (+M) <=> C2H2 (+M),1.00E-06,1.00E-06,1.00E-06
C2H + O <=> CH + CO,1.00E-06,1.00E-06,1.00E-06
C2H + OH <=> H + HCCO,1.00E-06,1.00E-06,1.00E-06
C2H + H2 <=> C2H2 + H,1.00E-06,1.00E-06,1.00E-06
C2H + O2 <=> CO + HCO,1.00E-06,1.00E-06,1.00E-06
H + HCCO <=> CH2(S) + CO,1.00E-06,1.00E-06,1.00E-06
HCCO + O <=> 2 CO + H,1.00E-06,1.00E-06,1.00E-06
HCCO + O <=> CH + CO2,1.00E-06,1.00E-06,1.00E-06
HCCO + O2 <=> 2 CO + OH,1.00E-06,1.00E-06,1.00E-06
CH + HCCO <=> C2H2 + CO,1.00E-06,1.00E-06,1.00E-06
CH2 + HCCO <=> C2H3 + CO,1.00E-06,1.00E-06,1.00E-06
2 HCCO <=> C2H2 + 2 CO,1.00E-06,1.00E-06,1.00E-06
C2H2 (+M) <=> H2CC (+M),1.00E-06,1.00E-06,1.00E-06
C2H2 + H (+M) <=> C2H3 (+M),1.00E-06,1.00E-06,1.00E-06
C2H2 + O <=> H + HCCO,1.00E-06,1.00E-06,1.00E-06
C2H2 + O <=> CH2 + CO,1.00E-06,1.00E-06,1.00E-06
C2H2 + OH <=> CH2CO + H,1.00E-06,1.00E-06,1.00E-06
C2H2 + OH <=> C2H + H2O,1.00E-06,1.00E-06,1.00E-06
C2H2 + OH <=> CH3 + CO,1.00E-06,1.00E-06,1.00E-06
H + H2CC <=> C2H2 + H,1.00E-06,1.00E-06,1.00E-06
H2CC + OH <=> CH2CO + H,1.00E-06,1.00E-06,1.00E-06
H2CC + O2 <=> 2 HCO,1.00E-06,1.00E-06,1.00E-06
CH2 + CO (+M) <=> CH2CO (+M),1.00E-06,1.00E-06,1.00E-06
CH2CO + H <=> H2 + HCCO,1.00E-06,1.00E-06,1.00E-06
CH2CO + H <=> CH3 + CO,1.00E-06,1.00E-06,1.00E-06
CH2CO + O <=> HCCO + OH,1.00E-06,1.00E-06,1.00E-06
CH2CO + O <=> CH2 + CO2,1.00E-06,1.00E-06,1.00E-06
CH2CO + O <=> 2 HCO,1.00E-06,1.00E-06,1.00E-06
CH2CO + O <=> CH2O + CO,1.00E-06,1.00E-06,1.00E-06
CH2CO + OH <=> H2O + HCCO,1.00E-06,1.00E-06,1.00E-06
CH2CO + OH <=> CH3 + CO2,1.00E-06,1.00E-06,1.00E-06
CH2CO + OH <=> CH2OH + CO,1.00E-06,1.00E-06,1.00E-06
CH + CH2CO <=> C2H3 + CO,1.00E-06,1.00E-06,1.00E-06
C2H3 + H (+M) <=> C2H4 (+M),1.00E-06,1.00E-06,1.00E-06
C2H3 + H <=> C2H2 + H2,1.00E-06,1.00E-06,1.00E-06
C2H3 + H <=> H2 + H2CC,1.00E-06,1.00E-06,1.00E-06
C2H3 + O <=> CH2CO + H,1.00E-06,1.00E-06,1.00E-06
C2H3 + OH <=> C2H2 + H2O,1.00E-06,1.00E-06,1.00E-06
C2H3 + OH <=> CH3 + HCO,1.00E-06,1.00E-06,1.00E-06
C2H3 + OH <=> CH3CO + H,1.00E-06,1.00E-06,1.00E-06
C2H3 + O2 <=> CH2O + HCO,1.00E-06,1.00E-06,1.00E-06
C2H3 + O2 <=> CH2CHO + O,1.00E-06,1.00E-06,1.00E-06
C2H3 + O2 <=> C2H2 + HO2,1.00E-06,1.00E-06,1.00E-06
C2H3 + CH3 <=> C2H2 + CH4,1.00E-06,1.00E-06,1.00E-06
CH2CHO (+M) <=> CH2CO + H (+M),1.00E-06,1.00E-06,1.00E-06
CH2CHO (+M) <=> CH3 + CO (+M),1.00E-06,1.00E-06,1.00E-06
CH2CHO + H <=> CH3 + HCO,1.00E-06,1.00E-06,1.00E-06
CH2CHO + H <=> CH2CO + H2,1.00E-06,1.00E-06,1.00E-06
CH2CHO + H <=> CH3CO + H,1.00E-06,1.00E-06,1.00E-06
CH2CHO + O => CH2 + CO2 + H,1.00E-06,1.00E-06,1.00E-06
CH2CHO + OH <=> CH2CO + H2O,1.00E-06,1.00E-06,1.00E-06
CH2CHO + OH <=> CH2OH + HCO,1.00E-06,1.00E-06,1.00E-06
CH2CHO + O2 => CH2O + CO + OH,1.00E-06,1.00E-06,1.00E-06
CH3CO (+M) <=> CH3 + CO (+M),1.00E-06,1.00E-06,1.00E-06
CH3CO + H (+M) <=> CH3CHO (+M),1.00E-06,1.00E-06,1.00E-06
CH3CO + H <=> CH3 + HCO,1.00E-06,1.00E-06,1.00E-06
CH3CO + O <=> CH2CO + OH,1.00E-06,1.00E-06,1.00E-06
CH3CO + O <=> CH3 + CO2,1.00E-06,1.00E-06,1.00E-06
CH3CO + OH <=> CH2CO + H2O,1.00E-06,1.00E-06,1.00E-06
CH3CO + OH <=> CH3 + CO + OH,1.00E-06,1.00E-06,1.00E-06
CH3CO + HO2 <=> CH3 + CO2 + OH,1.00E-06,1.00E-06,1.00E-06
CH3CO + O2 <=> CH2CO + HO2,1.00E-06,1.00E-06,1.00E-06
CH3 + CH3CO <=> CH2CO + CH4,1.00E-06,1.00E-06,1.00E-06
CH3CHO (+M) <=> CH4 + CO (+M),1.00E-06,1.00E-06,1.00E-06
CH3CHO (+M) <=> CH3 + HCO (+M),1.00E-06,1.00E-06,1.00E-06
CH3CHO + H <=> CH2CHO + H2,1.00E-06,1.00E-06,1.00E-06
CH3CHO + H <=> CH3CO + H2,1.00E-06,1.00E-06,1.00E-06
CH3CHO + O <=> CH2CHO + OH,1.00E-06,1.00E-06,1.00E-06
CH3CHO + O <=> CH3CO + OH,1.00E-06,1.00E-06,1.00E-06
CH3CHO + OH <=> CH3CO + H2O,1.00E-06,1.00E-06,1.00E-06
CH3CHO + O2 <=> CH3CO + HO2,1.00E-06,1.00E-06,1.00E-06
CH3CHO + HO2 <=> CH3CO + H2O2,1.00E-06,1.00E-06,1.00E-06
CH3 + CH3CHO <=> CH3CO + CH4,1.00E-06,1.00E-06,1.00E-06
C2H4 (+M) <=> H2 + H2CC (+M),1.00E-06,1.00E-06,1.00E-06
C2H4 + H (+M) <=> C2H5 (+M),1.00E-06,1.00E-06,1.00E-06
C2H4 + H <=> C2H3 + H2,1.00E-06,1.00E-06,1.00E-06
C2H4 + O <=> CH3 + HCO,1.00E-06,1.00E-06,1.00E-06
C2H4 + O <=> CH2CHO + H,1.00E-06,1.00E-06,1.00E-06
C2H4 + O <=> CH2 + CH2O,1.00E-06,1.00E-06,1.00E-06
C2H4 + OH <=> C2H3 + H2O,1.00E-06,1.00E-06,1.00E-06
C2H4 + OH <=> CH2O + CH3,1.00E-06,1.00E-06,1.00E-06
C2H4 + OH <=> CH3CHO + H,1.00E-06,1.00E-06,1.00E-06
C2H4 + OH <=> CH3CHO + H,1.00E-06,1.00E-06,1.00E-06
C2H4 + CH3 <=> C2H3 + CH4,1.00E-06,1.00E-06,1.00E-06
C2H4 + O2 <=> C2H3 + HO2,1.00E-06,1.00E-06,1.00E-06
C2H5 + H (+M) <=> C2H6 (+M),1.00E-06,1.00E-06,1.00E-06
C2H5 + H <=> C2H4 + H2,1.00E-06,1.00E-06,1.00E-06
C2H5 + O <=> CH2O + CH3,1.00E-06,1.00E-06,1.00E-06
C2H5 + O <=> CH3CHO + H,1.00E-06,1.00E-06,1.00E-06
C2H5 + O <=> C2H4 + OH,1.00E-06,1.00E-06,1.00E-06
C2H5 + O2 <=> C2H4 + HO2,1.00E-06,1.00E-06,1.00E-06
C2H5 + CH3 <=> C2H4 + CH4,1.00E-06,1.00E-06,1.00E-06
C2H5 + CH2O <=> C2H6 + HCO,1.00E-06,1.00E-06,1.00E-06
C2H5 + CH3OH <=> C2H6 + CH2OH,1.00E-06,1.00E-06,1.00E-06
C2H6 + H <=> C2H5 + H2,1.00E-06,1.00E-06,1.00E-06
C2H6 + O <=> C2H5 + OH,1.00E-06,1.00E-06,1.00E-06
C2H6 + OH <=> C2H5 + H2O,1.00E-06,1.00E-06,1.00E-06
C2H6 + CH <=> C2H4 + CH3,1.00E-06,1.00E-06,1.00E-06
C2H6 + CH2(S) <=> C2H5 + CH3,1.00E-06,1.00E-06,1.00E-06
C2H6 + CH3 <=> C2H5 + CH4,1.00E-06,1.00E-06,1.00E-06
C2H6 + CH3 <=> C2H5 + CH4,1.00E-06,1.00E-06,1.00E-06
C2H6 + O2 <=> C2H5 + HO2,1.00E-06,1.00E-06,1.00E-06
C2H6 + HO2 <=> C2H5 + H2O2,1.00E-06,1.00E-06,1.00E-06
CH + O2 <=> CO + OH*,1.00E-06,1.00E-06,1.00E-06
C2H + O <=> CH* + CO,1.00E-06,1.00E-06,1.00E-06
C2H + O2 <=> CH* + CO2,1.00E-06,1.00E-06,1.00E-06
H + O + M => OH* + M,1.00E-06,1.00E-06,1.00E-06
H + 2 OH => H2O + OH*,1.00E-06,1.00E-06,1.00E-06
CH* => CH,1.00E-06,1.00E-06,1.00E-06
CH* + N2 <=> CH + N2,1.00E-06,1.00E-06,1.00E-06
CH* + O2 <=> CH + O2,1.00E-06,1.00E-06,1.00E-06
CH* + H2O <=> CH + H2O,1.00E-06,1.00E-06,1.00E-06
CH* + H2 <=> CH + H2,1.00E-06,1.00E-06,1.00E-06
CH* + CO2 <=> CH + CO2,1.00E-06,1.00E-06,1.00E-06
CH* + CO <=> CH + CO,1.00E-06,1.00E-06,1.00E-06
CH* + CH4 <=> CH + CH4,1.00E-06,1.00E-06,1.00E-06
AR + CH* <=> AR + CH,1.00E-06,1.00E-06,1.00E-06
CH* + HE <=> CH + HE,1.00E-06,1.00E-06,1.00E-06
OH* => OH,1.00E-06,1.00E-06,1.00E-06
N2 + OH* <=> N2 + OH,1.00E-06,1.00E-06,1.00E-06
O2 + OH* <=> O2 + OH,1.00E-06,1.00E-06,1.00E-06
H2O + OH* <=> H2O + OH,1.00E-06,1.00E-06,1.00E-06
H2 + OH* <=> H2 + OH,1.00E-06,1.00E-06,1.00E-06
CO2 + OH* <=> CO2 + OH,1.00E-06,1.00E-06,1.00E-06
CO + OH* <=> CO + OH,1.00E-06,1.00E-06,1.00E-06
CH4 + OH* <=> CH4 + OH,1.00E-06,1.00E-06,1.00E-06
AR + OH* <=> AR + OH,1.00E-06,1.00E-06,1.00E-06
HE + OH* <=> HE + OH,1.00E-06,1.00E-06,1.00E-06
AR + O + O2 <=> AR + O3,1.00E-06,1.00E-06,1.00E-06
AR + O + O2 <=> AR + O3,1.00E-06,1.00E-06,1.00E-06
O + O2 + M <=> O3 + M,1.00E-06,1.00E-06,1.00E-06
O + O2 + M <=> O3 + M,1.00E-06,1.00E-06,1.00E-06
O + O3 <=> 2 O2,1.00E-06,1.00E-06,1.00E-06
O + O3 <=> O2 + O2X,1.00E-06,1.00E-06,1.00E-06
2 O + M <=> O2X + M,1.00E-06,1.00E-06,1.00E-06
O2X + M <=> O2 + M,1.00E-06,1.00E-06,1.00E-06
O + O2X <=> O + O2,1.00E-06,1.00E-06,1.00E-06
H + O2X <=> H + O2,1.00E-06,1.00E-06,1.00E-06
O + O2X + M <=> O + O2 + M,1.00E-06,1.00E-06,1.00E-06
O2X + O3 <=> O + 2 O2,1.00E-06,1.00E-06,1.00E-06
O2X + OX <=> O + O2,1.00E-06,1.00E-06,1.00E-06
O2 + OX <=> O + O2X,1.00E-06,1.00E-06,1.00E-06
O2 + OX <=> O + O2,1.00E-06,1.00E-06,1.00E-06
OX + M <=> O + M,1.00E-06,1.00E-06,1.00E-06
N2 + OX <=> N2 + O,1.00E-06,1.00E-06,1.00E-06
O3 + OX <=> 2 O + O2,1.00E-06,1.00E-06,1.00E-06
O3 + OX <=> 2 O2,1.00E-06,1.00E-06,1.00E-06
H + O2X <=> O + OH,1.00E-06,1.00E-06,1.00E-06
H + O2X + M <=> HO2 + M,1.00E-06,1.00E-06,1.00E-06
O2X + OH <=> HO2 + O,1.00E-06,1.00E-06,1.00E-06
H + O3 <=> O2 + OH,1.00E-06,1.00E-06,1.00E-06
O3 + OH <=> HO2 + O2,1.00E-06,1.00E-06,1.00E-06
HO2 + O3 <=> 2 O2 + OH,1.00E-06,1.00E-06,1.00E-06
H2 + OX <=> H + OH,1.00E-06,1.00E-06,1.00E-06
H2O + OX <=> 2 OH,1.00E-06,1.00E-06,1.00E-06
OCCO(401) => 2 CH3O,1.00E-06,1.00E-06,1.00E-06
CH3OH + Cl => CH2OH + HCl,1.00E-06,1.00E-06,1.00E-06
Cl + H2O2 => HCl + HO2,1.00E-06,1.00E-06,1.00E-06
CH2O + Cl => HCO + HCl,1.00E-06,1.00E-06,1.00E-06
Cl + O2 (+M) => ClOO (+M),1.00E-06,1.00E-06,1.00E-06
Cl + ClOO => Cl2 + O2,1.00E-06,1.00E-06,1.00E-06
Cl + ClOO => 2 ClO,1.00E-06,1.00E-06,1.00E-06
CH2OH + Cl => CH2O + HCl,1.00E-06,1.00E-06,1.00E-06
Cl2 + OH => Cl + HOCl,1.00E-06,1.00E-06,1.00E-06
Cl + HO2 => ClO + OH,1.00E-06,1.00E-06,1.00E-06
Cl + HO2 => HCl + O2,1.00E-06,1.00E-06,1.00E-06
ClO + HO2 => HOCl + O2,1.00E-06,1.00E-06,1.00E-06
ClO + OH => Cl + HO2,1.00E-06,1.00E-06,1.00E-06
ClO + OH => HCl + O2,1.00E-06,1.00E-06,1.00E-06
HCl + OH => Cl + H2O,1.00E-06,1.00E-06,1.00E-06
2 ClO => Cl2 + O2,1.00E-06,1.00E-06,1.00E-06
2 ClO => Cl + ClOO,1.00E-06,1.00E-06,1.00E-06
2 ClO (+M) => Cl2O2 (+M),1.00E-06,1.00E-06,1.00E-06
C2H6N2 => 2 CH3 + N2,1.00E-06,1.00E-06,1.00E-06
CH3I + M => CH3 + I + M,1.00E-06,1.00E-06,1.00E-06
H + I + M => HI + M,1.00E-06,1.00E-06,1.00E-06
2 I + M => I2 + M,1.00E-06,1.00E-06,1.00E-06
